Model_Name,Year,Km_Driven,Fuel_Type,Transmission,Ownership,Engine_CC,Seats,resale_price
Q5 2.0 TDI quattro Premium Plus,2012,40000,Diesel,Automatic,1,1968,5,1490000
XUV300 1.5 W6 [2019-2020],2020,57400,Diesel,Manual,1,1497,5,950000
XF Prestige Diesel CBU,2019,13500,Diesel,Automatic,2,1999,5,3750000
C-Class C200 Progressive,2021,12400,Petrol,Automatic,1,1991,5,4950000
Compass Model S (O) Diesel 4x4 AT,2021,38000,Diesel,Automatic,1,1956,5,2950000
Hector Sharp 1.5 DCT Petrol [2019-2020],2019,7000,Petrol,Automatic,1,1451,5,1625000
Fortuner 3.0 4x4 MT,2012,121000,Diesel,Manual,2,2982,7,1290000
Etios Liva GD,2015,76000,Diesel,Manual,1,1364,5,625000
XUV500 W10,2018,50000,Diesel,Manual,1,2179,7,1490000
i10 Asta 1.2 AT with Sunroof,2013,46721,Petrol,Automatic,2,1197,5,325000
XUV500 W10 AT,2017,41470,Diesel,Automatic,1,2179,7,1190000
Scorpio VLX 2WD Airbag BS-IV,2013,170000,Diesel,Manual,3,2179,8,625000
Range Rover Sport SDV6 HSE,2014,80000,Diesel,Automatic,2,2993,5,5375000
City ZX CVT Petrol [2017-2019],2018,6000,Petrol,Automatic,1,1497,5,1138000
A4 1.8 TFSI Multitronic Premium Plus,2021,17000,Petrol,Automatic,1,1798,5,4250000
Brio S MT,2014,31000,Petrol,Manual,1,1198,5,365000
Cruze LTZ AT,2014,73265,Diesel,Automatic,2,1998,5,475000
Creta SX 1.6 CRDi,2019,47000,Diesel,Manual,1,1582,5,1225000
Ertiga VDI SHVS,2017,42000,Diesel,Manual,1,1248,7,725000
GLA 200 CDI Sport,2017,25000,Diesel,Automatic,2,2143,5,2450000
Sonata 2.0 CRDi,2009,140000,Diesel,Manual,3,1991,5,225000
DZire VXi AMT,2018,68818,Petrol,Automatic,1,1197,5,695000
Innova 2.8 ZX AT 7 STR [2016-2020],2018,57000,Diesel,Automatic,1,2755,7,2200000
Amaze 1.5 VX CVT Diesel,2020,39000,Diesel,Automatic,1,1498,5,950000
Innova ZX 2.7 AT 7 STR,2022,12050,Petrol,Automatic,1,2694,7,2598000
Jazz VX Petrol,2017,24100,Petrol,Manual,1,1199,5,585000
Aspire Titanium 1.2 Ti-VCT,2017,23000,Petrol,Manual,1,1196,5,434999
Swift VDi,2009,185000,Diesel,Manual,1,1248,5,295000
Ciaz Delta 1.5 Diesel,2019,76000,Diesel,Manual,1,1498,5,910000
Celerio VXi,2020,47000,Petrol,Manual,1,998,5,565000
Urban Cruiser Premium Grade AT,2021,1910,Petrol,Automatic,1,1462,5,1050000
Creta E Plus 1.4 CRDI,2019,23000,Diesel,Manual,1,1396,5,990000
A3 35 TDI Premium Plus,2020,36978,Diesel,Automatic,2,1968,5,2590000
XUV500 W8 AWD [2015-2017],2016,33000,Diesel,Manual,1,2179,7,1000000
i10 1.1L iRDE ERA Special Edition,2012,18954,Petrol,Manual,1,1086,5,254999
Verna Fluidic 1.6 VTVT SX AT,2015,58200,Petrol,Automatic,1,1591,5,598000
Bolero Power Plus ZLX [2016-2019],2018,83000,Diesel,Manual,1,1493,7,850000
Elite i20 Asta 1.4 (O) CRDi,2016,80000,Diesel,Manual,2,1396,5,560000
A4 2.0 TDI (177bhp) Premium,2011,75000,Diesel,Automatic,1,1968,5,975000
A3 35 TDI Premium,2017,64000,Diesel,Automatic,1,1968,5,2600000
Rapid Ambition 1.6 TDI CR MT,2016,117048,Diesel,Manual,1,1598,5,745000
Grand i10 Asta 1.2 Kappa VTVT,2017,47000,Petrol,Manual,1,1197,5,495000
A3 40 TFSI Premium Plus + sunroof,2018,43290,Petrol,Automatic,1,1798,5,2450000
Brio E MT,2013,70000,Petrol,Manual,1,,,250000
C-Class C 220 CDI Avantgarde,2016,7000,Diesel,Automatic,1,2143,5,2850000
Scorpio S10,2016,150000,Diesel,Manual,1,2179,8,925000
Fortuner 3.0 4x2 AT,2013,125000,Diesel,Automatic,1,2982,7,1075000
E-Class E 350 d Exclusive [2017-2019],2019,42079,Diesel,Automatic,1,2987,5,6225000
XF 3.0 V6 Premium Luxury,2015,62645,Diesel,Automatic,1,,,2650000
A6 2.0 TDI Premium,2014,69000,Diesel,Automatic,1,1968,5,1500000
XF R 5.0 V8 Supercharged,2011,70662,Petrol,Automatic,2,,,2800000
Pajero SFX 2.8,2011,40000,Diesel,Manual,2,2835,5,625000
Etios G,2011,101347,Petrol,Manual,3,1496,5,325000
Marazzo M6 Plus 8 STR,2021,36700,Diesel,Manual,1,1497,8,1485000
A6 3.0 TDI quattro Premium,2012,240000,Diesel,Automatic,1,2967,5,1650000
A3 35 TDI Premium,2014,76529,Diesel,Automatic,1,1968,5,1800000
Innova 2.5 VX 7 STR BS-III,2014,85000,Diesel,Manual,2,2494,7,1290000
Terrano XL D Plus,2016,99000,Diesel,Manual,1,1461,5,600000
Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,37959,Petrol,Automatic,2,1197,5,436000
Fortuner 2.8 4x4 AT [2016-2020],2021,60000,Diesel,Automatic,1,2755,7,4300000
Go T (O),2017,27000,Petrol,Manual,1,1198,5,270000
Cruze LTZ,2011,75000,Diesel,Manual,2,1991,5,320000
Creta SX 1.4 Turbo 7 DCT,2022,1300,Petrol,Automatic,1,1353,5,1911000
X5 xDrive30d xLine,2020,21696,Diesel,Automatic,1,2993,5,8600000
C-Class C 220d Progressive [2018-2019],2019,33000,Diesel,Automatic,1,1950,5,3900000
V40 D3 R-Design,2016,6000,Diesel,Automatic,1,1984,5,2000000
Santro Sportz AMT [2018-2020],2019,19000,Petrol,Automatic,1,1086,5,465000
City V,2019,58618,Petrol,Manual,1,1497,5,875000
Cooper S,2017,10500,Petrol,Automatic,1,1998,4,3200000
TUV300 T6 Plus,2019,85641,Diesel,Manual,1,1493,7,850000
Kwid 1.0 RXT AMT Opt,2020,41669,Petrol,Automatic,1,999,5,426999
GLE 300d 4MATIC LWB,2022,10000,Diesel,Automatic,1,1950,5,9200000
Creta 1.6 SX,2018,36000,Diesel,Manual,1,1582,5,1035000
DZire ZXi,2018,31000,Petrol,Manual,1,1197,5,695000
X1 sDrive20d xLine,2020,37180,Diesel,Automatic,1,1995,5,3675000
Thar LX 4-STR Hard Top Diesel AT,2021,14000,Diesel,Automatic,1,2184,4,1700000
Tiago Revotron XZ,2018,53512,Petrol,Manual,2,1199,5,449000
C-Class 220 CDI AT,2022,4600,Diesel,Automatic,0,2148,5,5400000
Gloster Sharp 6 STR 2.0 Twin Turbo 4WD,2021,40000,Diesel,Automatic,1,1996,6,3950000
Elite i20 Sportz 1.4,2015,65000,Diesel,Manual,2,1396,5,565000
X1 sDrive20d xLine,2019,32963,Diesel,Automatic,1,1995,5,3775000
E-Class E220 CDI Blue Efficiency,2012,101000,Diesel,Automatic,2,2143,5,1275000
Kwid 1.0 RXT Edition,2018,14000,Petrol,Manual,1,999,5,375000
Vitara Brezza ZDi,2018,50500,Diesel,Manual,1,1248,5,949000
Swift ZDi Plus,2019,80849,Diesel,Manual,1,1248,5,775000
A6 2.0 TDI Premium Plus,2014,19868,Diesel,Automatic,1,1968,5,1800000
City VX CVT,2016,45000,Petrol,Automatic,1,1497,5,825000
Santro Magna [2018-2020],2019,30858,Petrol,Manual,1,1086,5,509999
Scorpio S11 2WD 7 STR,2018,56500,Diesel,Manual,1,2179,7,1350000
Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],2020,37003,Petrol,Manual,1,1197,5,650000
City ZX Diesel,2021,11000,Diesel,Manual,1,1498,5,1490000
Baleno Sigma 1.2,2016,53000,Petrol,Manual,1,1197,5,545000
3-Series 320d Luxury Line,2018,75000,Diesel,Automatic,1,1995,5,2950000
E-Class E350 CDI Avantgarde,2010,120000,Diesel,Automatic,1,2987,5,1150000
Q3 2.0 TDI quattro Premium,2013,44087,Diesel,Automatic,1,1968,5,1850000
X5 xDrive 30d,2016,39000,Diesel,Automatic,1,2993,7,3995000
E-Class E250 CDI Avantgarde,2014,59000,Diesel,Automatic,1,2143,5,1750000
Q7 45 TDI Premium Plus,2017,45000,Diesel,Automatic,1,2967,7,5500000
Sunny XV Diesel,2013,92000,Diesel,Manual,2,1461,5,360000
Ecosport Titanium 1.5L Ti-VCT,2019,48422,Petrol,Manual,1,1497,5,625000
3-Series 320d Luxury Line,2019,29000,Diesel,Automatic,1,1995,5,4150000
Thar LX 4-STR Hard Top Diesel MT,2021,37500,Diesel,Manual,1,2184,4,1698999
Baleno Delta 1.2,2018,62000,Petrol,Manual,2,1197,5,484999
A4 30 TFSI Premium Plus,2020,17000,Petrol,Automatic,1,1395,5,4250000
Ertiga VXI CNG,2017,76642,CNG,Manual,1,1373,7,800000
Creta SX 1.6 (O) Petrol,2019,44000,Petrol,Manual,1,1591,5,1275000
718 Boxster,2018,20000,Petrol,Automatic,1,1988,2,9500000
3-Series 320d Luxury Line,2013,102000,Diesel,Automatic,2,1995,5,1375000
Creta SX 1.5 Diesel [2020-2022],2022,9000,Diesel,Manual,1,1493,5,1700000
XUV500 W6 2013,2013,135000,Diesel,Manual,1,2179,7,500000
GLC 220d 4MATIC Progressive [2019-2021],2020,14500,Diesel,Automatic,1,1950,5,6800000
DZire VXi AMT,2019,31552,Petrol,Automatic,1,1197,5,715000
Wagon R VXI+ AMT,2016,70000,Petrol,Automatic,1,998,5,380000
Brio E MT,2016,35134,Petrol,Manual,1,1198,5,375000
Range Rover Sport SDV6 SE,2016,45000,Diesel,Automatic,3,2993,5,7200000
GLE 300d 4MATIC LWB,2020,18000,Diesel,Automatic,1,1950,5,8190000
Swift ZXi AMT [2018-2019],2018,8000,Petrol,Automatic,1,1197,5,695000
Creta 1.6 SX (O),2016,62125,Diesel,Manual,1,1582,5,875000
Discovery Sport HSE Luxury,2016,78000,Diesel,Automatic,1,1999,7,3500000
i20 Active 1.2 SX,2018,64300,Petrol,Manual,1,1197,5,685000
Safari XZ Plus,2021,28000,Diesel,Manual,1,1956,7,1875000
Octavia 1.8 TSI Ambition Plus AT,2017,28600,Petrol,Automatic,1,1798,5,1685000
A6 35 TDI Matrix,2015,69500,Diesel,Automatic,2,1968,5,2550000
Creta SX 1.6 CRDI,2017,70000,Diesel,Manual,1,1582,5,869999
Thar CRDe 4x4 AC,2018,24000,Diesel,Manual,1,2498,6,875000
Q3 2.0 TDI quattro Premium,2012,69500,Diesel,Automatic,1,1968,5,1390000
Vitara Brezza VDi (O) [2016-2018],2019,25500,Diesel,Manual,1,1248,5,825000
Ciaz Zeta 1.4 AT,2017,20000,Petrol,Automatic,1,1373,5,785000
GLA 200 CDI Sport,2016,55000,Diesel,Automatic,2,2143,5,2145000
Eeco 5 STR WITH HTR CNG [2018-2019],2021,8640,CNG,Manual,1,1196,5,590000
i20 Sportz 1.2 (O),2013,80500,Petrol,Manual,1,,,335000
XJ 3.0 Petrol,2013,65000,Petrol,Automatic,2,2995,5,2550000
E-Class E 220 d Avantgarde,2019,5750,Diesel,Automatic,1,1950,5,6500000
Polo Highline1.2L (P),2015,50000,Petrol,Manual,1,1198,5,490000
7-Series 730Ld DPE,2017,28000,Diesel,Automatic,1,2993,4,5950000
i20 Magna 1.2,2011,75431,Petrol,Manual,1,,,250000
Kwid 1.0 RXT [2016-2019],2017,43000,Petrol,Manual,0,999,5,420000
Tucson GL 2WD AT Diesel,2019,44876,Diesel,Automatic,1,1995,5,2395000
i20 Sportz 1.4 CRDI,2013,95610,Diesel,Manual,2,1336,5,360000
Sunny XV Diesel,2013,51000,Diesel,Manual,1,1461,5,325000
Evoque Dynamic SD4,2013,110000,Diesel,Automatic,2,2179,5,2300000
Ertiga Vxi CNG,2014,53693,CNG,Manual,1,1373,7,642000
Eon Era +,2018,70000,Petrol,Manual,1,814,5,290000
Grand i10 Asta 1.2 Kappa VTVT [2013-2016],2014,57000,Petrol,Manual,1,1197,5,390000
Corolla Altis 1.8 G AT,2014,63000,Petrol,Automatic,1,1798,5,890000
City 1.5 EXi,2002,65494,Petrol,Manual,1,,,100000
Swift LXi,2016,53807,Petrol,Manual,1,1197,5,440000
Ciaz Delta 1.4 MT,2018,46000,Petrol,Manual,1,1373,5,721000
Octavia 1.8 TSI L&K,2018,67546,Petrol,Automatic,2,1798,5,1515000
Discovery Sport SE R-Dynamic Petrol,2021,14500,Petrol,Automatic,1,1997,7,7000000
City V,2018,37100,Petrol,Manual,1,1497,5,949000
E-Class E 220d Exclusive [2019-2019],2019,30000,Diesel,Automatic,1,1950,5,5500000
Kwid RXT [2015-2019],2018,89059,Petrol,Manual,1,799,5,319000
Ertiga VDi,2013,77000,Diesel,Manual,2,1248,7,459999
V40 D3 R-Design,2018,42000,Diesel,Automatic,1,1984,5,2100000
Baleno Delta 1.2,2017,58146,Petrol,Manual,1,1197,5,685000
Cooper S,2020,13000,Petrol,Automatic,1,1998,4,3900000
Etios GD,2013,75000,Diesel,Manual,2,1364,5,300000
Panamera 3.0 Diesel,2016,20500,Diesel,Automatic,1,,,6350000
GLE 250 d,2018,50500,Diesel,Automatic,3,2143,5,5400000
A-Class Sedan 200d,2022,3826,Diesel,Automatic,0,1950,5,4100000
GLS 350 d,2019,53000,Diesel,Automatic,1,2987,7,6875000
Creta SX 1.6 (O) Petrol,2018,37000,Petrol,Manual,2,1591,5,1115000
City V CVT Petrol [2017-2019],2017,38000,Petrol,Automatic,2,1497,5,761000
Baleno Zeta 1.2,2021,8499,Petrol,Manual,1,1197,5,825000
Elite i20 Magna 1.4 CRDI [2016-2017],2016,61181,Diesel,Manual,1,1396,5,650000
Jazz V Petrol,2017,45000,Petrol,Manual,1,1199,5,565000
S-Class 350,2007,102000,Petrol,Automatic,1,3498,5,750000
Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,2021,9232,Petrol,Automatic,1,1197,5,685000
Estilo VXi,2008,72542,Petrol,Manual,1,1061,5,135000
Elite i20 Magna Executive 1.2,2018,42601,Petrol,Manual,1,1197,5,609000
Scorpio LX BS-III,2009,90000,Diesel,Manual,2,2179,8,365000
Q7 45 TDI Premium Plus,2016,65000,Diesel,Automatic,1,2967,7,5175000
Innova 2.8 ZX AT 7 STR [2016-2020],2018,40000,Diesel,Automatic,1,2755,7,2175000
Rexton RX7,2013,106223,Diesel,Automatic,2,2696,7,675000
X5 3.0d,2009,115000,Diesel,Automatic,2,2993,5,1400000
Amaze 1.2 S i-VTEC Opt,2016,50000,Petrol,Manual,1,1198,5,480000
5-Series 520d Luxury Line [2017-2019],2020,30000,Diesel,Automatic,1,1995,5,5800000
Q7 45 TDI Technology Pack,2018,39850,Diesel,Automatic,1,2967,7,6700000
Elantra 1.6 SX AT,2014,80000,Diesel,Automatic,1,1582,5,625000
MU-X 4x2,2017,96095,Diesel,Automatic,1,2999,7,1791000
Eeco 5 STR WITH A/C+HTR [2019-2020],2018,12768,Petrol,Manual,1,1196,5,422000
A4 Premium Plus 40 TFSI,2021,12321,Petrol,Automatic,0,1984,5,4200000
Corolla Altis VL AT Petrol,2018,65100,Petrol,Automatic,1,1798,5,1295000
Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],2017,30000,Petrol,Manual,1,1197,5,495000
Tiago Revotron XTA [2017-2019],2019,12000,Petrol,Automatic,1,1199,5,585000
C-Class C 220d Progressive [2018-2019],2019,33000,Diesel,Automatic,1,1950,5,3950000
E-Class E 220d Exclusive [2019-2019],2021,13000,Diesel,Automatic,1,1950,5,7475000
Rapid Elegance 1.6 MPI AT,2013,57000,Petrol,Automatic,2,1598,5,425000
5-Series 525d Sedan,2011,61000,Diesel,Automatic,3,1995,5,975000
E-Class E 220d Expression [2019-2019],2017,48000,Diesel,Automatic,2,1950,5,4150000
Q7 35 TDI Premium Plus + Sunroof,2012,118000,Diesel,Automatic,1,2967,7,2475000
5-Series 520d Sport Line,2017,44000,Diesel,Automatic,2,1995,5,2990000
X5 xDrive 30d,2015,59000,Diesel,Automatic,1,2993,7,3550000
Duster 85 PS RxL Diesel,2013,99000,Diesel,Manual,2,1461,5,280000
S-Class 350,2009,75000,Petrol,Automatic,2,3498,5,1500000
6-Series GT 630d Luxury Line [2018-2019],2019,79000,Diesel,Automatic,1,2993,5,5100000
Fortuner 3.0 MT,2010,114000,Diesel,Manual,2,2982,7,825000
Wagon R LXI CNG (O),2014,82000,CNG,Manual,1,998,5,310000
Jazz V AT Petrol,2016,80000,Petrol,Automatic,1,1199,5,595000
Commuter HiAce 3.0 L,2014,65000,Diesel,Automatic,1,,,3100000
Compass Limited 2.0 Diesel [2017-2020],2017,57000,Diesel,Manual,1,1956,5,1240000
Eeco 5 STR WITH A/C+HTR [2019-2020],2018,26807,Petrol,Manual,2,1196,5,328000
Elite i20 Sportz 1.2,2018,23000,Petrol,Manual,1,1197,5,625000
Swift VDi,2015,112000,Diesel,Manual,1,1248,5,409999
Baleno Alpha (O) 1.2,2022,5000,Petrol,Manual,1,,,975000
Swift DZire ZXI,2015,70000,Petrol,Manual,1,1197,5,545000
Polo Trendline 1.0L (P),2019,53929,Petrol,Manual,1,999,5,699000
Celerio LXi,2014,49580,Petrol,Manual,1,998,5,390000
Corolla Altis GL,2014,85000,Diesel,Manual,2,1364,5,680000
Ciaz ZDi SHVS,2015,61000,Diesel,Manual,1,1248,5,625000
Wagon R LXi LPG,2012,35000,LPG,Manual,2,998,5,235000
Scorpio S2,2016,42000,Diesel,Manual,1,2523,8,951000
City 1.5 V AT,2011,69000,Petrol,Automatic,2,1497,5,550000
Compass Limited 1.4 Petrol AT [2017-2020],2017,70000,Petrol,Automatic,1,1368,5,1350000
i10 Magna 1.2 Kappa2,2013,15780,Petrol,Manual,1,1197,5,325000
A4 2.0 TDI (143 bhp),2012,40031,Diesel,Automatic,2,,,1150000
Q7 35 TDI Premium + Sunroof,2015,46000,Diesel,Automatic,1,2967,7,2600000
Ciaz ZXI+,2016,50800,Petrol,Manual,1,1373,5,640000
Tigor EV XZ Plus,2021,3000,Electric,Automatic,1,,5,1250000
Corolla Altis 1.8 VL AT,2011,95000,Petrol,Automatic,1,1794,5,450000
5-Series 520d Sedan,2010,112000,Diesel,Automatic,2,1995,5,750000
A6 Technology 45 TFSI,2020,36000,Petrol,Automatic,1,1984,5,5300000
XC60 Inscription [2017-2020],2019,3500,Diesel,Automatic,1,1969,5,5800000
Vitara Brezza ZDi,2018,30000,Diesel,Manual,1,1248,5,801000
Jetta 1.9L TDI,2009,107879,Diesel,Manual,2,,,310000
Scorpio S6 Plus 1.99 [2016-2017],2017,19000,Diesel,Manual,1,1997,8,1090000
Alto VXi,2014,31100,Petrol,Manual,2,998,5,245000
Amaze 1.2 S i-VTEC,2014,65000,Petrol,Manual,2,1198,5,475000
Fortuner 2.8 4x4 AT [2016-2020],2017,49000,Diesel,Automatic,2,2755,7,2800000
Nexon EV XZ Plus,2022,5000,Electric,Automatic,1,,5,1450000
A3 35 TDI Premium,2020,11000,Diesel,Automatic,1,1968,5,2950000
Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2019,28000,Petrol,Manual,1,1197,5,545000
Endeavour Titanium 2.0 4x2 AT,2021,9400,Diesel,Automatic,1,1996,7,3975000
GLC 220 d Progressive,2017,77000,Diesel,Automatic,1,2143,5,4200000
Xcent SX CRDi,2017,27000,Diesel,Manual,2,1186,5,434999
Kwid RXT [2015-2019],2017,15507,Petrol,Manual,1,799,5,315000
Rexton RX6,2016,70000,Diesel,Manual,2,2696,7,900000
City VX,2015,44000,Petrol,Manual,1,1497,5,550000
X3 xDrive-20d xLine,2018,70000,Diesel,Automatic,1,1995,5,4400000
Fortuner 3.0 4x2 AT,2015,145000,Diesel,Automatic,2,2982,7,1600000
Redigo T(O) 1.0 [2017-2019],2017,24000,Petrol,Manual,1,999,5,198000
i10 Magna 1.1 LPG,2014,47721,LPG,Manual,1,1086,5,225000
i20 Asta 1.4 AT with AVN,2011,26000,Petrol,Automatic,1,1396,5,310000
Kwid RXT [2015-2019],2017,15507,Petrol,Manual,1,799,5,315000
City V,2018,39000,Petrol,Manual,2,1497,5,775000
DZire VXi AMT,2017,58000,Petrol,Automatic,1,1197,5,625000
Creta SX Plus 1.6 CRDI Dual Tone,2015,82000,Diesel,Manual,2,1582,5,775000
Innova 2.4 G 7 STR [2016-2017],2018,95315,Diesel,Manual,2,2393,7,1549000
3-Series 320d Prestige,2016,46000,Diesel,Automatic,2,1995,5,1679000
Swift ZXi AMT [2018-2019],2019,11874,Petrol,Automatic,1,1197,5,725000
Verna Fluidic 1.6 CRDi SX,2014,86000,Diesel,Manual,1,1582,5,540000
Polo Highline1.2L (D),2014,111000,Diesel,Manual,2,1199,5,350000
V40 D3 R-Design,2015,50000,Diesel,Automatic,2,1984,5,1689999
Magnite XL,2021,28000,Petrol,Manual,1,999,5,625000
Celerio ZXi [2019-2020],2019,25000,Petrol,Manual,1,998,5,475000
Seltos HTK Plus 1.5 Diesel,2021,12000,Diesel,Manual,1,1493,5,1650000
Santro Era,2019,32000,Petrol,Manual,1,1086,5,409999
i20 Sportz 1.2 (O),2011,45000,Petrol,Manual,1,,,275000
Range Rover Sport SDV6 S,2014,70000,Diesel,Automatic,1,2993,5,5900000
Innova 2.4 VX 7 STR [2016-2020],2017,112000,Diesel,Manual,1,2393,7,2100000
5-Series 520d Luxury Line [2017-2019],2017,51800,Diesel,Automatic,2,1995,5,2750000
Ignis Zeta 1.2 AMT,2017,22000,Petrol,Automatic,1,1197,5,545000
Safari 2.2 VX 4x2,2015,155000,Diesel,Manual,1,2179,7,740000
E-Class E 200,2016,60000,Petrol,Automatic,2,1991,5,2400000
5-Series 520d Luxury Line [2017-2019],2018,23000,Diesel,Automatic,1,1995,5,4500000
Swift VXi,2014,75000,Petrol,Manual,1,1197,5,465000
Punto Active 1.3,2014,71000,Diesel,Manual,1,1248,5,375000
Q3 30 TDI Premium FWD,2017,64000,Diesel,Automatic,1,1968,5,2900000
WR-V VX MT Petrol,2018,45326,Petrol,Manual,1,1199,5,795000
C-Class C 300d AMG line,2020,28079,Diesel,Automatic,1,1950,5,5250000
A3 35 TDI Premium,2019,15529,Diesel,Automatic,1,1968,5,2900000
GLA 200 Sport,2015,43200,Petrol,Automatic,1,1991,5,2250000
City VX CVT Petrol [2017-2019],2017,29386,Petrol,Automatic,2,1497,5,1050000
Grand i10 Asta 1.2 Kappa VTVT [2013-2016],2021,18105,Petrol,Manual,1,1197,5,765000
S-Cross Sigma 1.3,2017,125372,Diesel,Manual,1,1248,5,675000
A6 35 TDI Matrix,2015,100000,Diesel,Automatic,1,1968,5,2400000
Eeco 7 STR [2019-2020],2019,40000,Petrol,Manual,1,1196,7,509999
XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2022,31000,Diesel,Automatic,1,2184,7,2750000
A7 Sportback 3.0 TDI quattro,2012,42000,Diesel,Automatic,1,2967,5,2600000
City 1.5 V AT,2012,65001,Petrol,Automatic,1,1497,5,495000
Q7 35 TDI Premium + Sunroof,2014,42533,Diesel,Automatic,1,2967,7,2400000
Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,45000,Petrol,Manual,1,1197,5,495000
Discovery Sport HSE 7-Seater,2018,36000,Diesel,Automatic,2,2179,7,4200000
Fortuner 2.8 4x2 AT [2016-2020],2017,44000,Diesel,Automatic,2,2755,7,2550000
Swift DZire LDI,2016,85000,Diesel,Manual,1,1248,5,480000
Creta 1.6 SX (O),2021,17000,Diesel,Manual,1,1582,5,1750000
Ertiga ZDI + SHVS,2019,72000,Diesel,Manual,1,1248,7,850000
Santro Sportz AMT [2018-2020],2019,34400,Petrol,Automatic,1,1086,5,434999
Venue SX (O) 1.0 Turbo iMT,2021,8800,Petrol,Manual,1,998,5,1070000
City ZX CVT Petrol,2022,2000,Petrol,Automatic,1,1498,5,1530000
Creta SX 1.5 Diesel [2020-2022],2020,19700,Diesel,Manual,1,1493,5,1598000
Verna 1.6 VTVT SX,2016,45000,Petrol,Manual,1,1591,5,645000
C-Class 220 CDI Sport,2012,73000,Diesel,Automatic,1,,,1100000
Swift DZire ZDI AMT,2017,76000,Diesel,Automatic,1,1248,5,650000
Vento Highline Diesel,2013,110000,Diesel,Manual,1,1598,5,545000
City V Petrol,2022,2700,Petrol,Manual,1,1497,5,1095000
Innova 2.8 ZX AT 7 STR [2016-2020],2018,75000,Diesel,Automatic,1,2755,7,1975000
Ghost 6.5,2011,60000,Petrol,Automatic,2,6592,5,18000000
Q3 35 TDI Technology with Navigation,2017,110000,Diesel,Automatic,1,1968,5,1839000
Superb L&K TSI AT,2016,70000,Petrol,Automatic,2,1798,5,1500000
Q3 35 TDI quattro Premium Plus,2017,42000,Diesel,Automatic,1,1968,5,2100000
Polo Comfortline 1.5L (D),2015,70000,Diesel,Manual,1,1498,5,345000
City V,2018,52890,Petrol,Manual,1,1497,5,850000
Creta SX 1.6 AT CRDi,2018,72870,Diesel,Automatic,1,1582,5,1425000
Elite i20 Asta 1.2,2017,48591,Petrol,Manual,1,1197,5,675000
XUV300 1.5 W6 [2019-2020],2019,60888,Diesel,Manual,1,1497,5,925000
Eon Era +,2014,48000,Petrol,Manual,1,814,5,210000
Nexon XM,2018,20251,Petrol,Manual,1,1198,5,760000
Verna 1.6 CRDI SX,2015,49000,Diesel,Manual,1,1582,5,640000
Swift VXi,2013,66000,Petrol,Manual,1,1197,5,340000
Discovery Sport SE R-Dynamic,2020,54200,Diesel,Automatic,1,1999,7,5995000
Teana 250XL,2013,33000,Petrol,Automatic,1,,,550000
City S Petrol,2017,51292,Petrol,Manual,1,1497,5,695000
Figo Trend 1.5L TDCi [2015-2016],2015,89000,Diesel,Manual,2,1498,5,465000
Glanza V,2019,55000,Petrol,Manual,1,1197,5,735000
E-Class E 200 Avantgarde,1988,71000,Petrol,Automatic,3,1991,5,1300000
Alcazar Prestige 7 STR 1.5 Diesel,2021,20000,Diesel,Manual,1,1493,7,1848999
City V,2016,68500,Petrol,Manual,1,1497,5,685000
Santa Fe 2WD AT [2014-2017],2014,99000,Diesel,Automatic,1,2199,7,875000
Innova 2.8 ZX AT 7 STR [2016-2020],2018,110000,Diesel,Automatic,1,2755,7,2039999
Glanza G,2019,19244,Petrol,Manual,1,1197,5,700000
Wagon R VXi 1.2,2020,19000,Petrol,Manual,1,1197,5,550000
Santa Fe 2WD AT [2014-2017],2015,75000,Diesel,Automatic,2,2199,7,825000
Innova 2.4 ZX 7 STR [2016-2020],2021,29000,Diesel,Manual,1,2393,7,3100000
A6 2.0 TDI Premium,2013,60000,Diesel,Automatic,2,1968,5,1400000
Swift VXi,2015,80000,Petrol,Manual,2,1197,5,425000
NX 300h Luxury [2017-2020],2018,54500,Petrol,Automatic,2,2494,5,4375000
Innova ZX 2.4 AT 7 STR,2021,38000,Diesel,Automatic,1,2393,7,3000000
GLC 200 Progressive,2021,16785,Petrol,Automatic,1,1991,5,6600000
Vitara Brezza ZDi+ Dual Tone [2017-2018],2016,52000,Diesel,Manual,2,1248,5,640000
Santro GL (CNG),2013,76000,CNG,Manual,1,1086,5,275000
Elite i20 Sportz 1.2 [2016-2017],2019,42678,Petrol,Manual,1,1197,5,695000
City 1.5 V AT,2010,95000,Petrol,Automatic,2,1497,5,245000
Duster 110 PS RxL,2016,65000,Diesel,Manual,2,1461,5,690000
Taigun Highline 1.0 TSI AT,2021,31000,Petrol,Automatic,1,999,5,1500000
Alto VXi,2014,82682,Petrol,Manual,1,998,5,270000
i20 Active 1.4 S,2016,70500,Diesel,Manual,1,1396,5,545000
Hector Plus Sharp 1.5 DCT Petrol,2021,10000,Petrol,Automatic,1,1451,6,1875000
Kwid RXT [2015-2019],2016,57159,Petrol,Manual,1,799,5,254999
3-Series 320d Sport Line [2014-2016],2014,82000,Diesel,Automatic,1,1995,5,2000000
